Region_Name,CL,PR
Africa,4.370317002881844,4.593659942363113
Americas,2.498901098901099,2.2725274725274724
Asia,4.748768472906404,4.900656814449918
Europe,1.8034576888080074,1.7197452229299364
Oceania,1.8296703296703296,1.8626373626373627
